source,target,value,year
USA_E,DEU,27602030.49,2000
USA_E,EUN,189829009.7,2000
USA_E,FRA,19190125.14,2000
USA_E,GBR,38147688.85,2000
USA_E,IDN,2298648.6,2000
USA_E,IND,3378798.383,2000
USA_E,ITA,9576294.21,2000
USA_E,JPN,60429836.31,2000
USA_E,KOR,26230580.5,2000
USA_E,MEX,100020656.5,2000
USA_E,RUS,1993853.036,2000
USA_E,SAU,5869133.047,2000
USA_E,TUR,3661097.451,2000
USA_E,ZAF,2834335.51,2000
ZAF_E,ARG,93616.626,2000
ZAF_E,AUS,480206.121,2000
ZAF_E,BRA,201780.26,2000
ZAF_E,CAN,219419.281,2000
ZAF_E,CHN,335189.211,2000
ZAF_E,DEU,1900024.142,2000
ZAF_E,EUN,13517697.51,2000
ZAF_E,FRA,564208.134,2000
ZAF_E,GBR,2287993.862,2000
ZAF_E,IDN,111740.666,2000
ZAF_E,IND,371740.568,2000
ZAF_E,ITA,838237.581,2000
ZAF_E,JPN,1354641.71,2000
ZAF_E,KOR,594385.992,2000
ZAF_E,MEX,140915.763,2000
ZAF_E,RUS,30479.741,2000
ZAF_E,SAU,150914.126,2000
ZAF_E,TUR,105713.096,2000
ZAF_E,USA,2409237.052,2000
ARG_E,AUS,66179.007,2001
ARG_E,BRA,6205629.881,2001
ARG_E,CAN,223650.248,2001
ARG_E,CHN,1122612.132,2001
ARG_E,DEU,463769.29,2001
ARG_E,EUN,5159222.247,2001
ARG_E,FRA,258064.127,2001
ARG_E,GBR,292023.4,2001
ARG_E,IDN,43218.554,2001
ARG_E,IND,440437.446,2001
ARG_E,ITA,852166.597,2001
ARG_E,JPN,364148.174,2001
ARG_E,KOR,396380.754,2001
ARG_E,MEX,484271.546,2001
ARG_E,RUS,150657.237,2001
ARG_E,SAU,57196.771,2001
ARG_E,TUR,55149.779,2001
ARG_E,USA,2900129.494,2001
ARG_E,ZAF,315220.1,2001
AUS_E,ARG,42994.37,2001
AUS_E,BRA,244917.851,2001
AUS_E,CAN,938178.419,2001
AUS_E,CHN,3917959.221,2001
AUS_E,DEU,752961.734,2001
AUS_E,EUN,8573580.003,2001
AUS_E,FRA,625573.879,2001
AUS_E,GBR,2685676.574,2001
AUS_E,IDN,1663755.52,2001
AUS_E,IND,1252743.197,2001
AUS_E,ITA,1139224.524,2001
AUS_E,JPN,12255376.78,2001
AUS_E,KOR,4925112.283,2001
AUS_E,MEX,209254.374,2001
AUS_E,RUS,96210.509,2001
AUS_E,SAU,1358747.692,2001
AUS_E,TUR,156267.748,2001
AUS_E,USA,6170683.106,2001
AUS_E,ZAF,670871.503,2001
BRA_E,ARG,4993052.394,2001
BRA_E,AUS,247317.033,2001
BRA_E,CAN,554053.8,2001
BRA_E,CHN,1901250.877,2001
BRA_E,DEU,2498270.734,2001
BRA_E,EUN,17553468.76,2001
BRA_E,FRA,1673225.348,2001
BRA_E,GBR,1702994.442,2001
BRA_E,IDN,206901.127,2001
BRA_E,IND,284976.706,2001
BRA_E,ITA,1807575.439,2001
BRA_E,JPN,1984742.464,2001
BRA_E,KOR,736309.319,2001
BRA_E,MEX,1866454.084,2001
BRA_E,RUS,1100947.486,2001
BRA_E,SAU,568406.266,2001
BRA_E,TUR,166319.428,2001
BRA_E,USA,14337494.42,2001
BRA_E,ZAF,423607.073,2001
CAN_E,ARG,82650.082,2001
CAN_E,AUS,624384.564,2001
CAN_E,BRA,592645.388,2001
CAN_E,CHN,2570629.131,2001
CAN_E,DEU,1753216.191,2001
CAN_E,EUN,16630550.23,2001
CAN_E,FRA,1320764.825,2001
CAN_E,GBR,3071978.244,2001
CAN_E,IDN,293448.098,2001
CAN_E,IND,431030.406,2001
CAN_E,ITA,1027274.109,2001
CAN_E,JPN,5343944.669,2001
CAN_E,KOR,1284434.445,2001
