source,target,year,value
AUS,ZAF,2001,220819.50100000005
BRA,CAN,2001,-38591.58799999999
BRA,CHN,2001,550325.8590000002
BRA,DEU,2001,-2528739.266
BRA,EUN,2001,933968.4140000008
BRA,FRA,2001,-791410.212
BRA,GBR,2001,528559.9299999999
BRA,IDN,2001,4947.994999999995
BRA,IND,2001,54478.41
BRA,ITA,2001,-511719.86600000015
BRA,JPN,2001,-489705.31299999985
BRA,KOR,2001,-874900.819
BRA,MEX,2001,1152805.775
BRA,RUS,2001,909785.189
BRA,SAU,2001,563876.127
BRA,TUR,2001,76501.84500000002
BRA,USA,2001,-279586.54399999976
BRA,ZAF,2001,151927.66599999997
CAN,CHN,2001,-774947.912
CAN,DEU,2001,-2832092.809
CAN,EUN,2001,-3408092.748999998
CAN,FRA,2001,-1261657.1820000003
CAN,GBR,2001,-1616290.8059999999
CAN,IDN,2001,-96708.38900000002
CAN,IND,2001,-145710.08099999995
CAN,ITA,2001,-1273366.4449999998
CAN,JPN,2001,-1220280.392
CAN,KOR,2001,-751290.209
CAN,MEX,2001,-1544267.523
CAN,RUS,2001,120908.43599999999
CAN,SAU,2001,193420.702
CAN,TUR,2001,-62610.345
CAN,USA,2001,65802910.523
CAN,ZAF,2001,-65473.82900000001
CHN,DEU,2001,-963827.0120000001
CHN,EUN,2001,45986418.097
CHN,FRA,2001,760699.679
CHN,GBR,2001,4299668.103
CHN,IDN,2001,635035.9510000004
CHN,IND,2001,973290.444
CHN,ITA,2001,1090472.1580000003
CHN,JPN,2001,13946264.047000002
CHN,KOR,2001,-5668036.050000001
CHN,MEX,2001,1405431.382
CHN,RUS,2001,-2885540.952
CHN,SAU,2001,988997.686
CHN,TUR,2001,474633.789
CHN,USA,2001,36436535.260000005
CHN,ZAF,2001,587261.739
DEU,FRA,2001,19715758.974
DEU,GBR,2001,12305756.901
DEU,IDN,2001,-15631.294999999925
DEU,IND,2001,232201.3629999999
DEU,ITA,2001,5684208.173
DEU,JPN,2001,-4216496.873
DEU,KOR,2001,-322703.24700000044
DEU,MEX,2001,3242055.846
DEU,RUS,2001,-159234.83799999952
DEU,SAU,2001,2642743.51
DEU,TUR,2001,-185851.92200000025
DEU,USA,2001,31661936.935
DEU,ZAF,2001,1564990.5720000002
EUN,IDN,2001,-6298396.949999999
EUN,IND,2001,-473251.73099999875
EUN,JPN,2001,-31930334.729000002
EUN,KOR,2001,-6653122.845999999
EUN,MEX,2001,6805297.532000001
EUN,RUS,2001,-30708344.604999997
EUN,SAU,2001,298868.3420000002
EUN,TUR,2001,-204480.5080000013
EUN,USA,2001,37791732.486
EUN,ZAF,2001,-3382372.5810000002
FRA,GBR,2001,849875.5029999986
FRA,IDN,2001,-231445.875
FRA,IND,2001,-78765.696
FRA,ITA,2001,-4465135.266000003
FRA,JPN,2001,-1431324.5050000008
FRA,KOR,2001,522987.60400000005
FRA,MEX,2001,906302.523
FRA,RUS,2001,-197004.537
FRA,SAU,2001,1303276.482
FRA,TUR,2001,86287.69699999993
FRA,USA,2001,6794362.871999998
FRA,ZAF,2001,365312.73
GBR,IDN,2001,-934179.804
GBR,IND,2001,760369.1949999998
GBR,ITA,2001,-4109994.950000001
GBR,JPN,2001,-6742169.06
GBR,KOR,2001,-1360257.775
GBR,MEX,2001,252821.142
GBR,RUS,2001,-2987522.973
GBR,SAU,2001,2364191.27
GBR,TUR,2001,-425256.4439999999
GBR,USA,2001,5853574.681999996
GBR,ZAF,2001,-590386.0049999999
IDN,IND,2001,577160.358
IDN,ITA,2001,179367.37100000004
IDN,JPN,2001,6605782.872
IDN,KOR,2001,492715.76499999966
IDN,MEX,2001,208884.394
IDN,RUS,2001,31009.604
IDN,SAU,2001,386511.544
IDN,TUR,2001,143868.491
IDN,USA,2001,5298569.005000001
IDN,ZAF,2001,60028.23800000001
IND,ITA,2001,392841.73400000005
IND,JPN,2001,-373419.6299999999
IND,KOR,2001,-950300.9610000001
IND,MEX,2001,42517.59299999999
IND,RUS,2001,-280828.43900000013
IND,SAU,2001,494289.521
IND,TUR,2001,137576.70799999998
IND,USA,2001,4936489.472
IND,ZAF,2001,-42221.649999999965
ITA,JPN,2001,-640916.9049999998
ITA,KOR,2001,-254096.45799999987
ITA,MEX,2001,1483472.182
ITA,RUS,2001,-4245495.484
ITA,SAU,2001,1400230.582
ITA,TUR,2001,1079612.542
ITA,USA,2001,14381540.913999999
ITA,ZAF,2001,160884.397
JPN,KOR,2001,8794537.189
JPN,MEX,2001,2826601.355
JPN,RUS,2001,-1710024.2670000002
JPN,SAU,2001,3390629.786
JPN,TUR,2001,611447.772
JPN,USA,2001,69199805.62
JPN,ZAF,2001,-811496.6739999999
KOR,MEX,2001,1940393.171
KOR,RUS,2001,-169933.4609999999
KOR,SAU,2001,1212792.069
KOR,TUR,2001,634720.381
KOR,USA,2001,10467230.594
KOR,ZAF,2001,-56896.013000000035
MEX,RUS,2001,-64016.704999999994
MEX,SAU,2001,9821.425
MEX,TUR,2001,-43171.270000000004
MEX,USA,2001,46031961.033999994
MEX,ZAF,2001,-74492.94499999999
RUS,SAU,2001,64440.609
RUS,TUR,2001,2322194.2970000003
RUS,USA,2001,1639521.755
RUS,ZAF,2001,-23720.175
SAU,TUR,2001,-432471.185
SAU,USA,2001,-5019052.819
SAU,ZAF,2001,-51628.96500000001
TUR,USA,2001,75722.35300000012
TUR,ZAF,2001,-39672.568
USA,ZAF,2001,-811322.4820000003
ARG,AUS,2002,60495.939
ARG,BRA,2002,2490462.8099999996
ARG,CAN,2002,162129.34900000002
ARG,CHN,2002,906985.077
ARG,DEU,2002,92065.43099999998
ARG,EUN,2002,3977021.2879999997
ARG,FRA,2002,-9754.021000000008
ARG,GBR,2002,190314.76700000002
ARG,IDN,2002,51340.403000000006
ARG,IND,2002,390108.562
ARG,ITA,2002,559399.887
ARG,JPN,2002,218720.939
ARG,KOR,2002,303975.076
ARG,MEX,2002,544773.872
ARG,RUS,2002,123120.65000000001
ARG,SAU,2002,80132.792
ARG,TUR,2002,75872.209
ARG,USA,2002,1466856.14
ARG,ZAF,2002,259023.89899999998
AUS,BRA,2002,-35117.622
AUS,CAN,2002,273591.363
AUS,CHN,2002,-27808.402999999933
AUS,DEU,2002,-2827466.732
AUS,EUN,2002,-7372926.806
AUS,FRA,2002,-795871.5850000001
AUS,GBR,2002,-142293.36800000025
AUS,IDN,2002,-259194.77799999993
AUS,IND,2002,863527.4610000001
AUS,ITA,2002,-990791.3770000001
AUS,JPN,2002,3757546.5420000004
AUS,KOR,2002,3092317.178
AUS,MEX,2002,69092.525
AUS,RUS,2002,83251.72399999999
AUS,SAU,2002,1199024.583
AUS,TUR,2002,64212.06300000001
AUS,USA,2002,-5986238.999000001
AUS,ZAF,2002,218538.54800000007
BRA,CAN,2002,292789.822
BRA,CHN,2002,1050171.601
BRA,DEU,2002,-2049483.801
BRA,EUN,2002,2544424.681
